timestamp,cpu_usage,memory_usage,replicas
2026-04-05 16:10:18,0.0600373897280487,387297280.0,12.0
2026-04-05 16:10:26,0.06238113130465533,387477504.0,12.0
2026-04-05 16:10:33,0.08178824231635452,390627328.0,12.0
2026-04-05 16:10:40,0.12251478225907902,394178560.0,12.0
2026-04-05 16:10:48,0.15508136740001796,394211328.0,12.0
2026-04-05 16:10:55,0.33477851057330354,403656704.0,12.0
2026-04-05 16:11:02,0.3882630846618011,404586496.0,12.0
2026-04-05 16:11:10,0.48002888972785823,404443136.0,12.0
2026-04-05 16:11:17,0.5358843027585224,407748608.0,12.0
2026-04-05 16:11:25,0.5709507335220615,404611072.0,12.0
2026-04-05 16:11:32,0.6031778864195528,405835776.0,12.0
2026-04-05 16:11:39,0.6126694253568441,407248896.0,12.0
2026-04-05 16:11:47,0.5642100669464545,407375872.0,12.0
2026-04-05 16:11:54,0.5537813967721089,408514560.0,12.0
2026-04-05 16:12:01,0.6249687909144653,408760320.0,12.0
2026-04-05 16:12:09,0.6145669186738353,408932352.0,12.0
2026-04-05 16:12:16,0.5932698755501359,415498240.0,12.0
2026-04-05 16:12:23,0.6211549755267133,411332608.0,12.0
2026-04-05 16:12:31,0.5326551877684954,409878528.0,12.0
2026-04-05 16:12:38,0.5575437989184104,410025984.0,12.0
2026-04-05 16:12:45,0.6144510392951222,413605888.0,12.0
2026-04-05 16:12:53,0.5888419665350195,411414528.0,12.0
2026-04-05 16:13:00,0.6072325824694991,413581312.0,12.0
2026-04-05 16:13:08,0.6117844697654707,413818880.0,12.0
2026-04-05 16:13:15,0.5350513503955848,414212096.0,12.0
2026-04-05 16:13:23,0.629021398765017,412979200.0,12.0
2026-04-05 16:13:30,0.5361877396660271,414048256.0,12.0
2026-04-05 16:13:38,0.5940513310732579,414216192.0,12.0
2026-04-05 16:13:45,0.6232274185978938,416186368.0,12.0
2026-04-05 16:13:53,0.589991835897071,416526336.0,12.0
2026-04-05 16:14:00,0.5163850517485372,418344960.0,12.0
2026-04-05 16:14:08,0.5956235994501354,418344960.0,12.0
2026-04-05 16:14:15,0.6117741511469851,416727040.0,12.0
2026-04-05 16:14:22,0.5961979008057643,415580160.0,12.0
2026-04-05 16:14:30,0.5464367350355405,417239040.0,12.0
2026-04-05 16:14:37,0.5963978347370172,417071104.0,12.0
2026-04-05 16:14:45,0.5714713845920361,416747520.0,12.0
2026-04-05 16:14:52,0.6326502249234764,416763904.0,12.0
2026-04-05 16:15:00,0.5563042312330592,418193408.0,12.0
2026-04-05 16:15:07,0.5698932834661118,418426880.0,12.0
2026-04-05 16:15:15,0.6154447783000574,419151872.0,12.0
2026-04-05 16:15:22,0.5679540945091307,418312192.0,12.0
2026-04-05 16:15:29,0.5752570525958639,419729408.0,12.0
2026-04-05 16:15:37,0.5689248504270246,419692544.0,12.0
2026-04-05 16:15:44,0.6105157274045103,419692544.0,12.0
2026-04-05 16:15:52,0.5337541408923933,420777984.0,12.0
2026-04-05 16:15:59,0.5886415135198567,421597184.0,12.0
2026-04-05 16:16:07,0.6101560503694786,422764544.0,12.0
2026-04-05 16:16:14,0.5940820103662874,422866944.0,12.0
2026-04-05 16:16:21,0.571668028717145,426582016.0,12.0
2026-04-05 16:16:29,0.594752060498643,426459136.0,12.0
2026-04-05 16:16:36,0.5789795069715331,427110400.0,12.0
