Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4016922,2820475,290.0,1392.7358743717914,258.22050002170727,35352.52049996052,6935.084211244331,61.13886727329058,42.92855242711565,290,330,820,1100,2400,4800,18000,24000,31000,34000,35000
GET,/cart,802467,548260,290.0,521.422945116739,258.49450001260266,10455.507699982263,5846.371397203872,12.213810326462816,8.344696603831066,290,300,390,450,740,1300,4100,5100,7400,8800,10000
POST,/cart/checkout,402181,402181,280.0,288.01153574166796,258.1315000425093,9689.893900009338,4485.9999154609495,6.12132642327615,6.12132642327615,280,280,290,290,290,310,360,580,790,2000,9700
GET,/product/0PUK6V6EV0,2006835,1372859,290.0,531.8058722400824,260.12499997159466,10229.53489999054,6182.886104737061,30.54468538457906,20.895363212415482,290,300,380,470,770,1400,4200,5200,7500,8900,10000
,Aggregated,7228405,5143775,290.0,995.5191339617845,258.1315000425093,35352.52049996052,6469.121282495931,110.0186894076086,78.28993866663835,290,300,500,700,1700,3100,8200,19000,30000,34000,35000
