Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,300198,0,1100.0,1126.9468851401366,536.2094999873079,4180.255500017665,10840.974366917833,29.70175851852821,0.0,1100,1300,1400,1500,1600,1800,2100,2300,2800,3300,4200
GET,/cart,60045,0,550.0,581.9897203781564,275.40580002823845,2218.7927999766544,7053.5647764176865,5.940885982734816,0.0,550,660,720,760,880,980,1100,1200,1600,2100,2200
POST,/cart/checkout,30083,30083,300.0,313.0180428280988,261.08969998313114,2132.764699985273,4485.998138483529,2.976428895305379,2.976428895305379,300,320,330,330,360,380,430,490,800,1600,2100
GET,/product/0PUK6V6EV0,149632,0,590.0,616.7315962040235,278.28450000379235,2944.4625999894924,8132.503695733533,14.804674017296627,0.0,590,700,770,820,950,1100,1200,1400,1800,2300,2900
,Aggregated,539958,30083,770.0,879.609298817704,261.08969998313114,4180.255500017665,9315.17857870427,53.42374741386503,2.976428895305379,770,1000,1200,1300,1500,1700,1900,2100,2700,3200,4200
