Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2467,0,610.0,627.6034658290952,558.2785999868065,1854.016800003592,10841.0,7.971771070468036,0.0,610,620,630,640,660,710,960,1200,1800,1900,1900
GET,/cart,489,0,310.0,328.104296523591,283.65639998810366,1643.58789997641,7053.00408997955,1.5801362194806932,0.0,310,310,320,330,350,380,640,930,1600,1600,1600
POST,/cart/checkout,219,219,290.0,288.9463127844278,272.47409999836236,555.0515000359155,4486.0,0.7076683682336846,0.7076683682336846,290,290,290,300,300,300,320,330,560,560,560
GET,/product/0PUK6V6EV0,1188,0,310.0,326.1810411609551,287.6103000016883,1685.1792000234127,8134.161616161616,3.838858545486837,0.0,310,320,320,330,350,380,580,660,1300,1700,1700
,Aggregated,4363,219,580.0,494.9628857665409,272.47409999836236,1854.016800003592,9360.41347696539,14.098434203669251,0.7076683682336846,580,600,610,620,650,670,870,1100,1700,1900,1900
