Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3908,49,600.0,734.2679835210731,274.6930999564938,5332.619900000282,10771.248976458546,8.025065328728008,0.10062134112274115,600,620,640,650,700,1000,4200,4600,5300,5300,5300
GET,/cart,855,17,310.0,396.6985596490245,280.2671999670565,3709.2386999865994,7018.756725146199,1.7557397277539528,0.03490944487931836,310,320,320,330,420,1200,1500,2000,3700,3700,3700
POST,/cart/checkout,407,407,290.0,319.9375751835903,271.7039999552071,1427.0441999542527,4485.248157248157,0.8357731803460337,0.8357731803460337,290,290,300,300,550,600,620,620,1400,1400,1400
GET,/product/0PUK6V6EV0,2063,22,310.0,422.8485214247859,278.81889999844134,3638.156100001652,8102.750363548231,4.236363810943163,0.04517692866735317,310,320,320,330,550,1400,1800,1900,2300,3600,3600
,Aggregated,7233,495,580.0,582.2269654222765,271.7039999552071,5332.619900000282,9212.850546108115,14.852942047771158,1.0164808950154463,580,600,610,620,690,1200,1900,4400,5000,5300,5300
