Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,266964,195523,610.0,4389.745524581931,83.53329997044057,43563.18840000313,6759.59847020572,32.8061917592013,24.0270786747813,610,1300,2500,5100,18000,23000,31000,34000,39000,42000,44000
GET,/cart,53332,36696,500.0,1817.6185364695828,215.9126999322325,14059.941400075331,5837.742612315308,6.553766870820499,4.509432031268826,500,1300,2100,3100,5900,7400,9400,11000,13000,14000,14000
POST,/cart/checkout,27105,27105,350.0,670.4883195428013,261.69010007288307,6516.85669994913,4480.4583656152,3.3308304776417463,3.3308304776417463,350,530,780,950,1500,2200,2900,3400,4700,6000,6500
GET,/product/0PUK6V6EV0,134358,92374,780.0,2014.7285786488449,114.35319995507598,23207.45669992175,6158.498950564908,16.510744191661676,11.351489929595228,780,1700,2500,3300,6100,7600,10000,11000,14000,18000,23000
,Aggregated,481759,351698,610.0,3233.3796447658196,83.53329997044057,43563.18840000313,6361.675362577555,59.20153329932522,43.2188311132871,610,1300,2200,3300,10000,19000,26000,31000,38000,41000,44000
