timestamp,cpu_usage,memory_usage,replicas
2026-04-08 18:07:27,0.06605018452656189,403394560.0,12.0
2026-04-08 18:07:34,0.06475715427998381,403128320.0,12.0
2026-04-08 18:07:42,0.05962436837629582,403128320.0,12.0
2026-04-08 18:07:49,0.07103975758719269,403124224.0,12.0
2026-04-08 18:07:57,0.08571624405966574,403877888.0,12.0
2026-04-08 18:08:04,0.08702692151693202,402067456.0,12.0
2026-04-08 18:08:11,0.16110225794147365,402067456.0,12.0
2026-04-08 18:08:19,0.16483895256768105,402128896.0,12.0
2026-04-08 18:08:26,0.29787831196809017,402718720.0,12.0
2026-04-08 18:08:34,0.25408510150572505,402722816.0,12.0
2026-04-08 18:08:41,0.3528813210418911,402722816.0,12.0
2026-04-08 18:08:49,0.35749168471085424,403197952.0,12.0
2026-04-08 18:08:56,0.3442716713839403,403017728.0,12.0
2026-04-08 18:09:03,0.303275427292071,403017728.0,12.0
2026-04-08 18:09:11,0.357240695339272,404619264.0,12.0
2026-04-08 18:09:19,0.34458929627694557,404443136.0,12.0
2026-04-08 18:09:26,0.35222566639200925,404934656.0,12.0
2026-04-08 18:09:34,0.3125828388041185,405618688.0,12.0
2026-04-08 18:09:41,0.3128098182618806,405618688.0,12.0
2026-04-08 18:09:49,0.3242122910218027,403124224.0,12.0
2026-04-08 18:09:56,0.37208748547659803,403595264.0,12.0
2026-04-08 18:10:04,0.35905609021537876,403664896.0,12.0
2026-04-08 18:10:11,0.30729820112777834,403664896.0,12.0
2026-04-08 18:10:19,0.374571718236564,404520960.0,12.0
2026-04-08 18:10:26,0.3367485671225153,405409792.0,12.0
2026-04-08 18:10:33,0.31051664488950065,405409792.0,12.0
2026-04-08 18:10:41,0.328821699420021,405172224.0,12.0
2026-04-08 18:10:48,0.3599335203733554,405827584.0,12.0
2026-04-08 18:10:56,0.36840932730568415,406794240.0,12.0
2026-04-08 18:11:03,0.35824639866429603,406794240.0,12.0
2026-04-08 18:11:11,0.33118528444841566,406925312.0,12.0
2026-04-08 18:11:18,0.3688441984006528,404217856.0,12.0
2026-04-08 18:11:25,0.3688857947417252,403853312.0,12.0
2026-04-08 18:11:33,0.2937215471173413,403853312.0,12.0
2026-04-08 18:11:40,0.3420518604891067,404852736.0,12.0
2026-04-08 18:11:48,0.3543642043616614,404729856.0,12.0
2026-04-08 18:11:55,0.3503215522883699,405397504.0,12.0
2026-04-08 18:12:03,0.3573169814042421,405397504.0,12.0
2026-04-08 18:12:10,0.3235799938841128,405512192.0,12.0
2026-04-08 18:12:18,0.3595824944302035,406253568.0,12.0
2026-04-08 18:12:25,0.3499968097958945,406011904.0,12.0
2026-04-08 18:12:33,0.27102187646205267,406011904.0,12.0
2026-04-08 18:12:40,0.3334498605102573,407072768.0,12.0
2026-04-08 18:12:48,0.3247670859049987,404955136.0,12.0
2026-04-08 18:12:55,0.36736077862127464,404758528.0,12.0
2026-04-08 18:13:03,0.3107945256140194,404758528.0,12.0
2026-04-08 18:13:11,0.3362243201855126,404881408.0,12.0
2026-04-08 18:13:18,0.3498609514993817,405463040.0,12.0
2026-04-08 18:13:26,0.2721791880352718,405553152.0,12.0
2026-04-08 18:13:33,0.27228773977454335,405553152.0,12.0
2026-04-08 18:13:41,0.35404585173712244,405762048.0,12.0
2026-04-08 18:13:49,0.3167732702108727,406302720.0,12.0
