Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,40473,518,1200.0,1799.9788890815394,474.9477000441402,21232.65999997966,8576.80527759247,5.620518584126281,0.07193508330436127,1200,1400,1600,1700,1900,2400,17000,21000,21000,21000,21000
GET,/cart,80638,80638,1400.0,3004.663660589171,32.81120001338422,81933.83809993975,722.1417197847169,11.198264956558077,11.198264956558077,1400,1900,2200,2400,3100,17000,22000,36000,62000,78000,82000
GET,/catalogue,202600,2756,1200.0,1888.9133954402105,14.888999983668327,31266.335100051947,2756.9791707798618,28.13522756267103,0.38272797217532756,1200,1700,2000,2100,2500,3000,17000,20000,21000,21000,31000
GET,/catalogue/item,120904,1658,1300.0,1907.7587457974246,40.38729995954782,21214.19229998719,282.0779792231853,16.790037281526054,0.23024781490083202,1300,1700,2000,2100,2500,3000,18000,20000,21000,21000,21000
GET,/login,40383,40383,1100.0,1760.6536274773703,85.22389992140234,21999.304199940525,0.0,5.608020210579191,5.608020210579191,1100,1500,1700,1900,2200,2800,17000,19000,21000,21000,22000
,Aggregated,484998,125953,1200.0,2061.0200590453787,14.888999983668327,81933.83809993975,2057.801145571734,67.35206859546064,17.49119603751779,1200,1700,2000,2100,2500,3500,18000,21000,44000,67000,82000
