Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,303776,933,3200.0,3249.1654473431863,304.7348999971291,19276.62469999632,10823.839500158012,21.095648054337808,0.06479195076206538,3200,4300,4900,5200,5900,6300,6800,7000,8600,19000,19000
GET,/cart,60790,169,1000.0,1100.945458884668,296.61370000394527,7266.982900007861,7048.69856884356,4.221546288130713,0.011736162571049358,1000,1300,1500,1600,1900,2200,2400,2600,3900,5100,7300
POST,/cart/checkout,30313,30313,320.0,344.47665458055064,274.0736999985529,2012.3667000007117,4485.998878369017,2.1050786746521846,2.1050786746521846,320,340,360,370,390,450,570,670,1200,1900,2000
GET,/product/0PUK6V6EV0,151846,425,1100.0,1137.0026945458085,305.0998999970034,6157.062700003735,8123.065421545513,10.544907347713378,0.029514018299976196,1100,1400,1600,1700,2000,2200,2500,2700,3700,5300,6200
,Aggregated,546725,31840,1500.0,2262.630004781182,274.0736999985529,19276.62469999632,9302.578316338195,37.967180364834086,2.2111208062852756,1500,2400,3600,4200,5300,6000,6500,6800,7800,19000,19000
