timestamp,rps,failures_per_sec,latency_p95,cpu,memory,replicas,users
2026-02-09 10:11:56,0.0,0.0,0.0,0.0708598031960219,406736896.0,12.0,0.0
2026-02-09 10:12:04,0.0,0.0,0.0,0.0809463918483759,406548480.0,12.0,0.0
2026-02-09 10:12:12,0.0,0.0,0.0,0.0743804795148808,406749184.0,12.0,0.0
2026-02-09 10:12:20,0.0,0.0,1900.0,0.0787071007029533,407433216.0,12.0,50.0
2026-02-09 10:12:27,15.25,0.5,1800.0,0.0717534613360643,407969792.0,12.0,130.0
2026-02-09 10:12:35,34.5,1.8,2500.0,0.1232585051224819,413773824.0,12.0,209.0
2026-02-09 10:12:43,45.7,2.6,2400.0,0.1898310858657777,421896192.0,12.0,214.0
2026-02-09 10:12:51,47.4,3.6,2500.0,0.2681064459077427,420786176.0,12.0,217.0
2026-02-09 10:12:58,44.8,3.3,2800.0,0.380236108515883,424755200.0,12.0,221.0
2026-02-09 10:13:06,45.9,1.8,2800.0,0.4348115883677074,424787968.0,12.0,225.0
2026-02-09 10:13:14,48.9,1.6,2900.0,0.611331949020917,425189376.0,12.0,229.0
2026-02-09 10:13:22,48.0,2.6,2900.0,0.597529816637716,425402368.0,12.0,233.0
2026-02-09 10:13:29,49.7,2.6,2900.0,0.5147593078770781,426901504.0,12.0,237.0
2026-02-09 10:13:37,49.5,2.4,3000.0,0.6115579878106738,425930752.0,12.0,241.0
2026-02-09 10:13:45,50.1,3.2,3000.0,0.622958772990214,427667456.0,12.0,245.0
2026-02-09 10:13:52,50.4,2.9,3000.0,0.5560417624622576,428204032.0,12.0,249.0
2026-02-09 10:14:00,51.4,2.9,3100.0,0.613441410783806,430751744.0,12.0,253.0
2026-02-09 10:14:08,51.1,2.6,3100.0,0.5617723540997492,430739456.0,12.0,256.0
2026-02-09 10:14:16,51.6,2.4,3200.0,0.584642907495546,431165440.0,12.0,260.0
2026-02-09 10:14:23,51.6,2.9,3200.0,0.4780835395774001,431341568.0,12.0,264.0
2026-02-09 10:14:31,53.3,3.5,3400.0,0.605627900092444,430505984.0,12.0,268.0
2026-02-09 10:14:39,53.3,3.4,3500.0,0.6015072815256638,430202880.0,12.0,271.0
2026-02-09 10:14:46,51.6,3.0,3500.0,0.55210471779374,430796800.0,12.0,274.0
2026-02-09 10:14:54,51.8,3.0,3600.0,0.6102124478019035,432541696.0,12.0,278.0
2026-02-09 10:15:02,53.7,3.4,3600.0,0.5953012613191929,431988736.0,12.0,282.0
2026-02-09 10:15:10,50.9,3.7,3700.0,0.5485584854198654,431480832.0,12.0,285.0
2026-02-09 10:15:17,45.3,3.0,3900.0,0.5492337520676115,431427584.0,12.0,288.0
2026-02-09 10:15:25,47.5,2.3,4000.0,0.5801158838070407,434585600.0,12.0,291.0
2026-02-09 10:15:33,51.5,2.7,4200.0,0.5531173833099484,436957184.0,12.0,294.0
2026-02-09 10:15:41,54.4,2.2,4200.0,0.576417012987417,437743616.0,12.0,298.0
2026-02-09 10:15:48,47.2,2.7,4300.0,0.549511700196887,438198272.0,12.0,300.0
2026-02-09 10:15:56,53.7,3.1,4300.0,0.6091607809383084,437538816.0,12.0,303.0
2026-02-09 10:16:04,54.7,3.2,4300.0,0.5792204006444511,437837824.0,12.0,306.0
2026-02-09 10:16:12,46.6,2.8,4500.0,0.5691490473602369,438267904.0,12.0,309.0
2026-02-09 10:16:20,47.7,2.5,4600.0,0.5815940905134241,439193600.0,12.0,312.0
2026-02-09 10:16:27,51.2,2.9,4600.0,0.5300701622302161,439787520.0,12.0,315.0
2026-02-09 10:16:35,51.8,3.0,4600.0,0.6156448299897871,438444032.0,12.0,317.0
2026-02-09 10:16:43,53.9,3.4,4600.0,0.52997441115279,438513664.0,12.0,320.0
2026-02-09 10:16:51,49.6,3.1,4700.0,0.5668017709841527,444674048.0,12.0,322.0
2026-02-09 10:16:58,52.9,3.3,4700.0,0.5921276869991928,445349888.0,12.0,324.0
2026-02-09 10:17:06,51.2,2.5,4800.0,0.5801840185358504,447037440.0,12.0,327.0
2026-02-09 10:17:14,52.3,2.7,4800.0,0.6219663218965714,441671680.0,12.0,329.0
2026-02-09 10:17:22,54.4,2.6,4900.0,0.5516346171474759,442826752.0,12.0,331.0
2026-02-09 10:17:29,51.9,2.3,4900.0,0.5910191771250801,443154432.0,12.0,333.0
2026-02-09 10:17:37,49.6,2.9,4900.0,0.5830819950639564,442519552.0,12.0,335.0
2026-02-09 10:17:45,44.4,2.5,5000.0,0.5937606829780082,441389056.0,12.0,336.0
2026-02-09 10:17:53,56.7,3.2,5000.0,0.5585357446312426,441409536.0,12.0,338.0
2026-02-09 10:18:00,49.9,2.5,5000.0,0.6005533608891929,444420096.0,12.0,339.0
2026-02-09 10:18:08,54.3,1.9,5100.0,0.5663583003058372,444522496.0,12.0,341.0
2026-02-09 10:18:16,50.6,3.1,5200.0,0.5591656230847339,443412480.0,12.0,342.0
2026-02-09 10:18:23,53.9,4.6,5200.0,0.544795166549259,443621376.0,12.0,343.0
2026-02-09 10:18:31,51.2,4.3,5200.0,0.5068878569020225,443359232.0,12.0,345.0
2026-02-09 10:18:39,51.4,2.5,5300.0,0.610827365689074,443002880.0,12.0,346.0
2026-02-09 10:18:47,51.3,3.3,5300.0,0.5343493850881454,444645376.0,12.0,347.0
