Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,113161,113161,21006.54019997455,21046.906715870206,21006.54019997455,21225.880999991205,0.0,8.436656042149739,8.436656042149739,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/cart,22688,22688,21007.7014999697,21047.151771072917,21007.7014999697,21219.501099956688,0.0,1.6914913467033101,1.6914913467033101,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
POST,/cart/checkout,11266,11266,21012.148900015745,21046.794132238636,21012.148900015745,21219.194800010882,0.0,0.8399304263028691,0.8399304263028691,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/product/0PUK6V6EV0,56199,56199,21006.328399991617,21046.990724742314,21006.328399991617,21217.26399997715,0.0,4.189885498650359,4.189885498650359,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
,Aggregated,203314,203314,21006.328399991617,21046.951044641675,21006.328399991617,21225.880999991205,0.0,15.157963313806277,15.157963313806277,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
